address,allocation
0xd3741d77b94997da4aea15416e708a4b8fc8b4c0,"798,290.73"
0x100edd1aee01efe16809f6a99db8b07e577be552,"250,000"
0x5c42cc4837e4f52f4ab737e14ee7604f5deb8067,"134,498.39"
0xe99bfc1e9f62fbd734d5a67c700c44ca2d1d4e04,"109,682.16"
0xee02cd75afd7a69bcaf06214fa8cbf883f60565e,"66,608.75"
0xd8637bcdbfbdffa49c12ddf96ebae6429013df9a,"65,750.87"
0x182d6bb4de60e153ea82419e6aa92d157da14d76,"54,750"
0x312e1a0d4c29a42c61ca59c948178f22cd50fb22,"43,826.92"
0x238377b42128b67d6182b992401b880ad30cb188,"29,556.40"
0x5abd87df4202f5794e280351fac0cd8a86cf8bd2,"26,081.38"
0x0dd761060adba486caa5cce2b57ba8445986851d,"25,295.73"
0x7d024516490096ee7a517340d327fc4084025952,"24,599.16"
0xdd73e45cb4268bc87b495c6eef7e5c2694073d43,"20,671.15"
0xb2c31ce566260e8d025dc3d3e6b2334f0a1f49ec,"20,457.32"
0xa76efbe3e949e07c2114fb4c825acd5a0d8c5f56,"20,382.19"
0x6e1950b7dab20c1bfd002e111ab8e6c4f4787086,"22,426.41"
0x593e4dcd01b67623b1d4510e2fd996a46430eeba,"18,133.23"
0x1db089af4e5287050c5be3d2b54300deb8c65100,"17,741.34"
0xd7d21a725ec76c87300ca686f56c40828a80a22e,"16,600"
0x1db24f08cdde40f130dbcd38d52c3905027860c2,"16,722.93"
0xfbd2020abc89509d74b1fe6282ceabd1fa563a48,"15,750.42"
0x0bae1695ad0034e0eb1c121df904ab919ae4951a,"15,225.66"
0xfd822620d436432c0e59621d4b9d2f7f9c8754c7,"14,380.94"
0xc3909f5017148a87ee974df47a38ce6ef3583ce8,"14,317"
0xba0a9aaee66676ba6d27891a1dca36223792319c,"13,251.22"
0x644fa8aa088cad5bcdf78bb0e7c1bf1cb399e475,"11,642.13"
0x9688f23a13cfea2b95d940447787af641aa884bc,"11,459.32"
0x86112d226781e0ce0bf7f4cb1ae8b53fa07bad86,"10,650"
0xc1dd0f01ee04cb453e622c3608aab2bb35a1bae3,"10,463"
0xb0ebcbed319ac337c581af287fed8466801a56fd,"10,267.93"
0x93a61277b0eebdd22a14fe043983b4d9f688af4d,"9,949.74"
0x3c7066f173b665c8956140a006335c93c079fa61,"9,603.45"
0x9dc75a58067356fd6761c1ecd60dd4ba39be38d7,"9,497.69"
0x124103845d3c80cca7f2883ad500b250cfa5747e,"9,204.04"
0xfd78213fa127a83913e6dbc8edd39b9911df351e,"8,804.56"
0x7c36ca2b6a802acec1bd3bd7f5b33ef40b823a7e,"7,947.90"
0xaa9900618913c4a2a2d5cd834664c079b1abf661,"7,740.60"
0x3774e0eb060ec2c381c1b5936f2dd745e2711c8d,"7,276.80"
0xb72de6d5304cde00a1987f22d147bf067b4bef97,"15,215.80"
0x7c1f4e57924c7d3b6e79ab2aee604473a88047bc,"7,140.00"
0x51d3e91e4710aaa6f225e4f8264d51afeffdaf47,"7,007.40"
0x6d6324f1c92e8dbf1c53fc50272011b6e0f96733,"6,784.51"
0x38d847365ce6cc24db339d6c71bdf361ec572f0f,"6,421.54"
0xf2eae0d263c9d8bda97dabb9af69c4326719c085,"6,284.18"
